date,body feeling,feeling,energy level,todays headline,grateful for,walk,journal,keto,if,exercise,jump,mediation,mg,alcohol,headache,latesleep,interrupted sleep(tothinight)
22/03/2021,"excited, calm",,,,,1,0,0,1,1,0,0,0,0,0,0,0
23/03/2021,energetic ,,,,,0,0,0,1,1,500,0,0,0,1,0,1
24/03/2021,tired,,,,,1,0,0,0,1,100,0,0,0,1,0,0
25/03/2021,dozy,,,,,1,0,0,1,1,0,0,0,0,1,0,0
25/03/2021,dozy,,,,,1,0,0,1,1,100,0,0,0,1,0,0
26/03/2021,calm,,,,,1,0,0,0,1,500,0,0,0,1,0,0
27/03/2021,"nervous, restless",,,,,1,0,0,0,1,0,1,0,0,0,0,0
28/03/2021,calm,,,,,1,1,0,0,1,0,0,0,0,0,0,0
29/03/2021,headache,,,,,1,0,0,0,0,0,0,0,0,1,0,0
30/03/2021,dozy,,,,,1,0,0,0,0,0,0,0,0,0,0,0
31/03/2021,lazy,,,,,1,0,0,0,0,0,0,0,1,0,0,0
01/04/2021,calm,,,,,0,0,0,0,1,0,0,0,1,0,0,0
02/04/2021,calm,,,,,0,1,0,0,1,0,0,0,1,0,0,0
03/04/2021,"pissed off, annoyed trapped",,,,,0,1,0,0,1,0,0,0,1,0,0,0
04/04/2021,calm,,,,,0,1,0,0,0,0,0,0,1,0,0,0
05/04/2021,calm,,,,,0,0,0,0,0,0,0,0,1,0,0,0
06/04/2021,calm,,,,,0,0,0,0,0,0,0,0,1,0,0,0
07/04/2021,calm,,,,,0,0,0,0,0,0,0,0,1,0,0,0
08/04/2021,calm,,,,,0,1,0,0,0,0,0,0,1,0,0,0
09/04/2021,normal,,,,,0,0,0,0,0,0,0,0,0,0,0,0
10/04/2021,normal,,,,,0,0,0,0,0,0,0,0,0,0,0,0
11/04/2021,low,,,,,0,1,1,0,0,0,0,0,0,0,0,0
12/04/2021,normal,,,,,1,1,1,0,0,0,0,0,0,0,0,0
13/04/2021,normal,,,,,1,1,1,0,0,0,0,0,0,0,0,1
14/04/2021,calm,,,,,1,1,1,1,0,0,0,1,0,0,0,0
15/04/2021,calm,,,,,1,1,1,1,0,0,0,0,0,0,0,0
16/04/2021,calm,,,,,1,1,0,1,0,0,0,1,0,0,0,0
17/04/2021,"calm, determinate",,,,,1,1,0,1,0,0,0,0,0,0,0,0
18/04/2021,good,,,,,0,1,1,1,1,0,0,1,1,0,0,0
19/04/2021,good,,,,,1,0,0,1,0,0,0,0,0,0,0,0
20/04/2021,energetic ,,,,,1,0,0,0,0,0,0,0,1,0,0,0
21/04/2021,determinate,,,,,1,1,1,1,0,0,0,0,1,0,0,1
22/04/2021,energetic,,,,,0,0,0,0,1,50,0,0,1,0,0,0
23/04/2021,"determinate, energetic",,,,,1,1,1,1,1,0,0,0,1,0,0,1
24/04/2021,"determinate, energetic",,,,,0,0,0,1,1,0,0,0,1,0,0,1
25/04/2021,normal,,,,,0,0,0,0,0,0,0,0,0,0,0,0
26/04/2021,energetic,,,,,1,0,0,0,0,0,0,0,0,0,0,1
27/04/2021,determinate,,,,,1,0,1,0,0,0,0,0,0,0,0,0
28/04/2021,"determined, accomplished",,,,,1,1,0,1,0,0,0,0,0,1,0,0
29/04/2021,calm,,,,,1,0,1,1,0,0,0,0,0,0,0,1
30/04/2021,optimistic,,,,,1,0,1,1,0,0,0,0,0,0,0,1
01/05/2021,"happy, chill",,,,,0,1,1,1,0,0,0,0,1,0,0,0
02/05/2021,stable,,,,,0,0,1,1,0,0,0,0,1,0,0,1
03/05/2021,"tired, pain",,,,,1,1,0,1,0,0,0,0,0,0,0,0
04/05/2021,ok,,,,,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2021,low energy,,,,,1,1,0,0,0,0,0,0,0,1,0,0
06/05/2021,excited,,,,,1,1,1,1,0,0,0,0,0,0,0,0
07/05/2021,low,,,,,0,1,1,1,0,0,0,0,1,1,0,0
08/05/2021,"calm, happy, excited",,,,,1,1,0,1,0,0,0,0,0,0,0,1
09/05/2021,"anxious, tired, nauseated",,,,,0,1,0,1,0,0,0,0,1,1,0,0
10/05/2021,"energetic, calm, accomplished",,,,,1,1,1,1,0,0,0,0,0,0,0,0
11/05/2021,"docile, anxious",,,,,1,1,0,1,0,0,0,0,0,0,0,0
12/05/2021,normal,,,,,1,1,0,1,0,0,0,0,0,0,0,0
13/05/2021,"energetic, happy",,,,,1,1,0,1,0,0,0,0,0,0,0,0
14/05/2021,determinate,,,,,1,1,0,0,0,0,0,0,0,0,0,0
16/05/2021,excited,,,,,1,1,0,0,0,0,0,0,1,0,0,0
16/05/2021,headache,,,,,1,0,0,1,0,0,0,1,1,1,0,0
17/05/2021,Chappy,,,,,1,1,0,1,0,0,0,0,0,0,0,0
18/05/2021,determinate,,,,,1,0,1,1,0,0,0,0,0,0,0,0
20/05/2021,determinate,,,,,1,1,0,1,0,0,0,1,0,1,0,0
21/05/2021,pumped,,,,,1,0,0,1,0,0,0,0,0,0,0,0
22/05/2021,unexcited,,,,,1,0,0,1,0,0,0,0,0,0,0,0
23/05/2021,excited,,,,,1,0,0,1,0,0,0,0,0,0,0,1
24/05/2021,happy,,,,,1,0,0,1,0,0,0,0,0,0,0,0
25/05/2021,chill,,,,,1,1,0,1,0,0,0,0,0,0,0,0
26/05/2021,trollstigen,,,,,1,1,0,1,0,0,0,0,0,0,0,0
29/05/2021,tired,,,,,1,0,0,0,0,0,0,0,0,0,0,0
30/05/2021,normal,,,,,0,0,0,1,0,0,0,0,1,0,0,0
31/05/2021,"determinate, hungry",,,,,0,1,0,1,0,0,0,0,0,0,0,0
01/06/2021,determinate,,,,,1,0,0,1,0,0,0,0,0,0,0,1
02/06/2021,"optimistic, happy",,,,,1,0,0,1,0,0,0,0,0,0,0,1
03/06/2021,"allergic, sensitive, itchy, hungry",,,,,1,0,0,0,0,0,0,0,0,0,0,1
04/06/2021,drowsy,,,,,1,1,0,0,0,0,0,0,0,0,0,1
05/06/2021,hot,,,,,1,1,0,1,1,1,0,0,1,0,0,1
06/06/2021,"happy, vomit",,,,,1,1,0,0,0,0,0,0,1,0,1,0
07/06/2021,low energy,,,,,1,0,0,1,0,0,0,0,0,0,0,0
08/06/2021,energetic,,,,,1,1,0,1,0,0,0,0,0,0,0,0
09/06/2021,"itchy, sleepy",,,,,1,0,0,1,0,0,0,0,0,0,0,1
10/06/2021,low motivation,,,,,1,1,1,1,0,0,0,0,0,0,0,0
11/06/2021,anxious,,,,,1,0,1,1,0,0,0,0,0,0,0,0
