Date,Start,End,Time
21/01/2021,        ,23:00:00,
22/01/2021,14:24:00,23:00:00,15:24:00
23/01/2021,16:10:00,19:00:00,17:10:00
24/01/2021,14:30:00,19:00:00,19:30:00
25/01/2021,18:00:00,19:00:00,23:00:00
26/01/2021,18:20:00,19:00:00,23:50:00
27/01/2021,12:31:00,19:00:00,17:31:00
28/01/2021,15:40:45,19:00:00,1 02:30:49
29/01/2021,19:30:00,22:30:00,1 00:30:00
30/01/2021,19:30:00,22:30:00,21:00:00
31/01/2021,,,
